Latitude,Longitude,Elevation (m),Slope (degrees),Rainfall (mm),Soil Type,Land Cover,Landslide Occurrence
4.14176225252472,9.230039945173006,597.2407990982213,31.57177183144843,157.78444272720947,0,urban,0
4.173394215421904,9.260757671569277,569.2597182367997,26.86265667813497,172.83518408907202,1,grassland,0
4.161386467405446,9.28926063646896,1821.8837029899696,40.054530261904475,375.0200395365207,1,wetland,0
4.154066350782418,9.277144562719863,574.1377797140616,7.0818206851352725,215.1294275931778,0,wetland,0
4.12976542336029,9.283544914830872,616.7044796443989,33.286484650308,152.28930715756937,2,urban,0
4.129764099166458,9.270821247873792,1542.856698594131,33.04107229827987,287.7225288276499,2,urban,0
4.124388790308034,9.273705012204987,954.505700656026,20.85228561409823,253.3082730375176,0,forest,0
4.168753070403044,9.287215745599774,1575.7500582148443,32.19138525557096,94.70159638000322,0,forest,0
4.1542012141447024,9.235596415562776,224.19569937233194,0.0,218.23638141610306,2,grassland,0
4.160073184521003,9.256239489369674,1026.3852679794302,29.35038079460101,154.66640432626235,1,urban,0
4.12233008873684,9.233146132940668,163.865840348237,6.3449433216616535,51.053343714249195,0,urban,0
4.174448050883694,9.299138215488512,219.0410865651736,3.6637080072163917,3.1696739454463305,2,urban,0
4.166901100979943,9.295383509147017,1822.231161354381,17.9987197513649,152.83386634864905,2,wetland,0
4.132857417176237,9.217494648458828,364.5662051234308,29.77254580113356,50.91187020111417,1,grassland,0
4.13118219069967,9.2748500223536,1111.5992963229126,19.82335902630124,190.25783386924223,1,forest,1
4.131268907590954,9.29376388012949,881.0816449413425,39.148093548578416,433.43407824679105,1,wetland,0
4.137902899138479,9.229647537215463,759.952319891801,17.241508568395034,173.4072643996597,1,wetland,0
4.15000912809661,9.263000084350582,1809.6833568058178,16.02325399212871,348.7433463073849,1,wetland,0
4.144913781523452,9.292923542422331,141.46445387343005,5.24940013924771,204.19458403797586,0,wetland,0
4.1371884797968725,9.217022748756238,1361.2004037336192,40.97012023740558,299.2265589949468,2,grassland,0
4.154790723920258,9.274147885009953,1930.4494250057458,32.745512470690784,335.3005964279752,0,urban,0
4.1288582129497975,9.239701749534778,1164.3195485774997,21.160322520868988,146.90257849782552,0,forest,0
4.137238741204583,9.29369051242192,1879.9626778628744,35.39980903715662,483.0890226142087,0,forest,0
4.141313265196824,9.297708114908739,199.28997064344514,22.0107270681099,350.64866142813304,0,wetland,0
4.146238242133515,9.295401344712667,895.7073062409066,35.131061221433676,71.30486121182209,0,wetland,0
4.164306160280477,9.254929844054208,594.2998028278972,35.427990327208235,107.02712119415177,1,grassland,0
4.132162090640494,9.28832187225018,1488.5598334633867,26.28791187674301,270.874949108638,1,wetland,0
4.149431470668907,9.28681570321387,1964.4644719447688,21.384167858627304,249.99266770345776,2,forest,0
